lr,iterations
0.24176618,537.0
0.24221538,538.0
0.24266458,539.0
0.24311376,540.0
0.24356295,541.0
0.24401215,542.0
0.24446133,543.0
0.24491052,544.0
0.24535972,545.0
0.2458089,546.0
0.2462581,547.0
0.24670729,548.0
0.24715647,549.0
0.24760567,550.0
0.24805486,551.0
0.24850404,552.0
0.24895324,553.0
0.24940243,554.0
0.24985161,555.0
0.2503008,556.0
0.25075,557.0
0.2511992,558.0
0.25164837,559.0
0.25209758,560.0
0.25254676,561.0
0.25299597,562.0
0.25344515,563.0
0.25389433,564.0
0.25434354,565.0
0.25479272,566.0
0.2552419,567.0
0.2556911,568.0
0.2561403,569.0
0.25658947,570.0
0.25703868,571.0
0.25748786,572.0
0.25793704,573.0
0.25838625,574.0
0.25883543,575.0
0.25928462,576.0
0.25973383,577.0
0.260183,578.0
0.2606322,579.0
0.2610814,580.0
0.26153058,581.0
0.26197976,582.0
0.26242897,583.0
0.26287815,584.0
0.26332733,585.0
0.26377654,586.0
0.26422572,587.0
0.2646749,588.0
0.2651241,589.0
0.2655733,590.0
0.26602247,591.0
0.26647168,592.0
0.26692086,593.0
0.26737005,594.0
0.26781926,595.0
0.26826844,596.0
0.26871762,597.0
0.26916683,598.0
0.269616,599.0
0.2700652,600.0
0.2705144,601.0
0.27096358,602.0
0.27141276,603.0
0.27186197,604.0
0.27231115,605.0
0.27276033,606.0
0.27320954,607.0
0.27365872,608.0
0.2741079,609.0
0.2745571,610.0
0.2750063,611.0
0.27545547,612.0
0.2759047,613.0
0.27635387,614.0
0.27680305,615.0
0.27725226,616.0
0.27770144,617.0
0.27815062,618.0
0.27859983,619.0
0.279049,620.0
0.2794982,621.0
0.2799474,622.0
0.28039658,623.0
0.28084576,624.0
0.28129497,625.0
0.28174415,626.0
0.28219333,627.0
0.28264254,628.0
0.28309172,629.0
0.2835409,630.0
0.28399011,631.0
0.2844393,632.0
0.28488848,633.0
0.2853377,634.0
0.28578687,635.0
0.28623605,636.0
0.28668526,637.0
0.28713444,638.0
0.28758362,639.0
0.28803283,640.0
0.288482,641.0
0.2889312,642.0
0.2893804,643.0
0.28982958,644.0
0.29027876,645.0
0.29072797,646.0
0.29117715,647.0
0.29162633,648.0
0.29207554,649.0
0.29252473,650.0
0.29297394,651.0
0.29342312,652.0
0.2938723,653.0
0.2943215,654.0
0.2947707,655.0
0.29521987,656.0
0.29566908,657.0
0.29611826,658.0
0.29656744,659.0
0.29701665,660.0
0.29746583,661.0
0.297915,662.0
